SECTNO,CFRSubject,Original_sentence,Matched_Label,Matched_Text
§ 303.17   ,Use of fiber trademarks and generic names on labels.,"Where a fiber generic name or trademark is used on any hang-tag attached to a textile fiber product that has a label providing required information and the hang-tag provides non-required information, such as a hang-tag stating only a fiber generic name or trademark or providing information about a particular fiber's characteristics, the hang-tag need not provide a full fiber content disclosure; however, if the textile fiber product contains any fiber other than the fiber identified by the fiber generic name or trademark, the hang-tag must disclose clearly and conspicuously that it does not provide the product's full fiber content; for example: (c)",obligations,tag must disclose
§ 303.17   ,Use of fiber trademarks and generic names on labels.,"If a fiber trademark is not used in the required information, but is used elsewhere on the label as non-required information, the generic name of the fiber shall accompany the fiber trademark in legible and conspicuous type or lettering the first time the trademark is used.",obligations,fiber shall accompany
§ 303.20   ,Registered identification numbers.,"(a) Registered numbers for use as the required identification in lieu of the name on textile fiber product labels, as provided in section 4(b)(3) of the Act, will be issued by the Commission to qualified persons residing in the United States upon receipt of an application duly executed on the Commission's Web site at https://rn.ftc.gov or by such means as the Commission or its designee may direct.",permissions,designee may direct
§ 303.20   ,Registered identification numbers.,"(3) Registered identification numbers shall be subject to cancellation if the Commission fails to receive prompt notification of any change in name, business address, or legal business status of a person or firm to whom a registered identification number has been assigned, by application duly executed on the Commission's Web site at https://rn.ftc.gov or by such means as the Commission or its designee may direct.",permissions,designee may direct
§ 303.31   ,Invoice in lieu of label.,"Where a textile fiber product is not in the form intended for sale, delivery to, or for use by the ultimate consumer, an invoice or other document may be used in lieu of a label, and such invoice or other document shall show, in addition to the name and address of the person issuing the invoice or other document, the fiber content of such product as provided in the Act and regulations as well as any other required information.",obligations,document shall show
§ 303.33   ,Country where textile fiber products are processed or manufactured.,"For example, a yarn manufacturer must identify fiber if it is imported, a cloth manufacturer must identify imported yarn and a household product manufacturer must identify imported cloth or imported yarn for household products made directly from yarn, or imported fiber used as filling for warmth.",obligations,manufacturer must identify
§ 303.34   ,Country of origin in mail order advertising.,"When a textile fiber product is advertised in any mail order catalog or mail order promotional material, the description of such product shall contain a clear and conspicuous statement that the product was either made in U.S.A., imported, or both.",obligations,product shall contain
§ 303.38   ,Continuing guaranty filed with Federal Trade Commission.,Under section 10 of the act any person residing in the United States and marketing or handling textile fiber products may file a continuing guaranty with the Federal Trade Commission.,permissions,products may file
§ 303.38   ,Continuing guaranty filed with Federal Trade Commission.,The guarantor shall promptly report any change in business status to the Commission.,obligations,guarantor shall promptly report
§ 303.39   ,Maintenance of records.,"Such records shall show: (1) The generic names and percentages by weight of the constituent fibers present in the textile fiber product, exclusive of permissive ornamentation, in amounts of five per centum or more.",obligations,records shall show
§ 303.41   ,Use of fiber trademarks and generic names in advertising.,"(a) In advertising textile fiber products, the use of a fiber trademark or a generic fiber name shall require a full disclosure of the fiber content information required by the Act and regulations in at least one instance in the advertisement.",obligations,name shall require
§ 303.41   ,Use of fiber trademarks and generic names in advertising.,"(b) Where a fiber trademark is used in advertising textile fiber products containing more than one fiber, other than permissible ornamentation, such fiber trademark and the generic name of the fiber must appear in the required fiber content information in immediate proximity and conjunction with each other in plainly legible type or lettering of equal size and conspicuousness.",obligations,fiber must appear
§ 303.41   ,Use of fiber trademarks and generic names in advertising.,"(c) Where a fiber trademark is used in advertising textile fiber products containing only one fiber, other than permissive ornamentation, such fiber trademark and the generic name of the fiber must appear in immediate proximity and conjunction with each other in plainly legible and conspicuous type or lettering at least once in the advertisement.",obligations,fiber must appear
§ 303.43   ,Fiber content tolerances.,"For example, where the label indicates that a particular fiber is present in the amount of 40 percent, the amount of such fiber present may vary from a minimum of 37 percent of the total fiber weight of such product to a maximum of 43 percent of the total fiber weight of such product.",permissions,present may vary
§ 303.43   ,Fiber content tolerances.,"(c) Where representations are made to the effect that a textile fiber product is composed wholly of one fiber, the tolerance provided in section 4(b)(2) of the Act and paragraph (a) of this section shall not apply, except as to permissive ornamentation where the textile fiber product is represented to be composed of one fiber “exclusive of ornamentation.”",prohibitions,section shall not apply
§ 303.45   ,Coverage and exclusions from the Act.,"(7) All textile fiber products in a form ready for the ultimate consumer procured by the military services of the United States which are bought according to specifications, but shall not include those textile fiber products sold and distributed through post exchanges, sales commissaries, or ship stores; provided, however, that if the military services sell textile fiber products for nongovernmental purposes the information with respect to the fiber content of such products shall be furnished to the purchaser thereof who shall label such products in conformity with the Act and regulations before such products are distributed for civilian use.",obligations,who shall label
§ 304.1   ,Terms defined.,The term shall not include any re-issue or re-strike of any original numismatic item by the United States or any foreign government.,prohibitions,term shall not include
§ 304.2   ,General requirement.,Any violation of these regulations shall constitute a violation of the Act and of the Federal Trade Commission Act.,obligations,regulations shall constitute
§ 304.5   ,Marking requirements for imitation political items.,"(1) The calendar year shall appear in arabic numerals, shall be based upon the Gregorian calendar and shall consist of four digits.",obligations,year shall appear
§ 304.5   ,Marking requirements for imitation political items.,"Each numeral shall have a vertical dimension of not less than two millimeters (2.0 mm) and a minimum depth of three-tenths of one millimeter (0.3 mm) or one-half ( 1/2 ) the thickness of the reproduction, whichever is the lesser.",obligations,numeral shall have
§ 304.5   ,Marking requirements for imitation political items.,Each numeral shall have a vertical dimension of not less than two millimeters (2.0 mm).,obligations,numeral shall have
§ 305.2   ,Definitions.,"(h) Catalog means printed material, including material disseminated over the Internet, which contains the terms of sale, retail price, and instructions for ordering, from which a retail consumer can order a covered product.",permissions,consumer can order
§ 305.3   ,Description of appliances and consumer electronics.,"An electric refrigerator may include a compartment for the freezing and storage of food at temperatures below 32 °F (0 °C), but does not provide a separate low temperature compartment designed for the freezing and storage of food at temperatures below 8 °F (−13.3 °C).",permissions,refrigerator may include
§ 305.3   ,Description of appliances and consumer electronics.,"Some models may require user intervention to initiate these different segments of the cycle after the machine has begun operation, but they do not require the user to intervene to regulate the water temperature by adjusting the external water faucet valves.",permissions,models may require
§ 305.3   ,Description of appliances and consumer electronics.,(2) Semi-automatic clothes washer means a class of clothes washer that is the same as an automatic clothes washer except that the user must intervene to regulate the water temperature by adjusting the external water faucet valves.,obligations,user must intervene
§ 305.7   ,Prohibited acts.,This section shall not limit the Commission from requiring additional testing under this part.,prohibitions,section shall not limit
§ 305.7   ,Prohibited acts.,This subsection shall also apply to distributors and retailers.,obligations,subsection shall also apply
§ 305.7   ,Prohibited acts.,"This part shall not apply to: (1) Any covered product if it is manufactured, imported, sold, or held for sale for export from the United States, so long as such product is not in fact distributed in commerce for use in the United States, and such covered product or the container thereof bears a stamp or label stating that such covered product is intended for export.",prohibitions,part shall not apply
§ 305.8   ,"Determinations of estimated annual energy consumption, estimated annual operating cost, and energy efficiency rating, water use rate, and other required disclosure content.","(b) For any representations required by this part but not subject to Department of Energy requirements and not otherwise specified in this section, manufacturers and private labelers of any covered product must possess and rely upon a reasonable basis consisting of competent and reliable scientific tests and procedures substantiating the representation.",obligations,product must possess
§ 305.9   ,Duty to provide labels on websites.,"For each covered product required by this part to bear an EnergyGuide or Lighting Facts label, the manufacturer must make a copy of the label available on a publicly accessible website in a manner that allows catalog sellers to hyperlink to the label or download it for use in websites or paper catalogs.",obligations,manufacturer must make
§ 305.9   ,Duty to provide labels on websites.,The label for each specific model must remain on the website for six months after production of that model ceases.,obligations,model must remain
§ 305.11   ,Submission of data.,"In lieu of submitting the required information to the Commission as required by this section, manufacturers may submit such information to the Department of Energy via the CCMS at https://regulations.doe.gov/ccms as provided by 10 CFR 429.12.",permissions,manufacturers may submit
§ 305.11   ,Submission of data.,"(2) Manufacturers of ceiling fans shall submit annually a report containing the brand name, model number, diameter (in inches), wattage excluding any lights, airflow (capacity) for each basic model in current production, and starting serial number, date code or other means of identifying the date of manufacture with the first submission for each basic model.",obligations,fans shall submit
§ 305.11   ,Submission of data.,"In lieu of submitting the required information to the Commission as required by this section, manufacturers may submit such information to the Department of Energy via the Compliance and Certification Management System (CCMS) at https://regulations.doe.gov/ccms as provided by 10 CFR 429.12.",permissions,manufacturers may submit
§ 305.11   ,Submission of data.,"(3) Manufacturers of televisions shall submit annually a report containing the brand name; model number; screen size (diagonal in inches); power (in watts) consumed in on mode, standby-passive mode, in standby-active mode, low mode, and off mode; and annual energy consumption (kWh/year) for each basic model in current production.",obligations,televisions shall submit
§ 305.11   ,Submission of data.,"The report should also include a starting serial number, date code, or other means of identifying the date of manufacture with the first submission for each basic model.",obligations,report should also include
§ 305.11   ,Submission of data.,"In lieu of submitting the required information to the Commission as required by this section, manufacturers may submit such information to the Department of Energy via the Compliance and Certification Management System (CCMS) at https://regulations.doe.gov/ccms as provided by 10 CFR 429.12.",permissions,manufacturers may submit
§ 305.11   ,Submission of data.,(5) Manufacturers must submit a website address for the online EnergyGuide labels covered by § 305.9 in new model and annual reports required by this section.,obligations,Manufacturers must submit
§ 305.11   ,Submission of data.,"Manufacturers may accomplish this by either submitting a specific link to a URL for each label, a link to a PDF download for each label, or a link to a website that takes users directly to a searchable database of the covered labels from which the label image or download may be accessed using the model number as certified to DOE pursuant to 10 CFR part 429 and the model number advertised in product literature.",permissions,Manufacturers may accomplish
§ 305.11   ,Submission of data.,"In lieu of submitting the required information to the Commission, manufacturers may submit such information to the Department of Energy via the CCMS at https://regulations.doe.gov/ccms as provided by 10 CFR 429.12.",permissions,manufacturers may submit
§ 305.12   ,Ranges of comparability on the required labels.,"When the ranges are revised, all information disseminated after 90 days following the publication of the revision shall conform to the revised ranges.",obligations,revision shall conform
§ 305.12   ,Ranges of comparability on the required labels.,"When the cost figures are revised, all information disseminated after 90 days following the publication of the revision shall conform to the new cost figure.",obligations,revision shall conform
§ 305.12   ,Ranges of comparability on the required labels.,"When the estimated annual operating cost or energy efficiency rating of a given model of a product covered by this section falls outside the limits of the current range for that product, which could result from the introduction of a new or changed model, the manufacturer shall: (1) Omit placement of such product on the scale appearing on the label, and (2) Add one of the two sentences below, as appropriate, in the space just below the scale on the label, as follows: The estimated yearly energy cost of this model was not available at the time the range was published.",permissions,which could result
§ 305.13   ,"Layout, format, and placement of labels for refrigerators, refrigerator-freezers, freezers, dishwashers, clothes washers, water heaters, room air conditioners, and pool heaters.","Energy labels shall use one size, similar colors, and typefaces with consistent positioning of headline, copy, and charts to maintain uniformity for immediate consumer recognition and readability.",obligations,labels shall use
§ 305.13   ,"Layout, format, and placement of labels for refrigerators, refrigerator-freezers, freezers, dishwashers, clothes washers, water heaters, room air conditioners, and pool heaters.",Positioning and spacing should follow the prototypes closely.,obligations,spacing should follow
§ 305.13   ,"Layout, format, and placement of labels for refrigerators, refrigerator-freezers, freezers, dishwashers, clothes washers, water heaters, room air conditioners, and pool heaters.","The paper stock for pressure-sensitive or other adhesive labels shall have a basic weight of not less than 58 pounds per 500 sheets (25″ x 38″) or equivalent, exclusive of the release liner and adhesive.",obligations,labels shall have
§ 305.13   ,"Layout, format, and placement of labels for refrigerators, refrigerator-freezers, freezers, dishwashers, clothes washers, water heaters, room air conditioners, and pool heaters.","In lieu of a label with adhesive backing, manufacturers may adhere the label with adhesive tape, provided the tape is affixed along the entire top and bottom of the label.",permissions,manufacturers may adhere
§ 305.13   ,"Layout, format, and placement of labels for refrigerators, refrigerator-freezers, freezers, dishwashers, clothes washers, water heaters, room air conditioners, and pool heaters.","If paper stock is used for hang tags, it shall have a basic weight of not less than 110 pounds per 500 sheets (25 1/2 ″ x 30 1/2 ″ index).",obligations,it shall have
§ 305.13   ,"Layout, format, and placement of labels for refrigerators, refrigerator-freezers, freezers, dishwashers, clothes washers, water heaters, room air conditioners, and pool heaters.",Manufacturers shall affix adhesive labels to the covered products in such a position that it is easily read by a consumer examining the product.,obligations,Manufacturers shall affix
§ 305.13   ,"Layout, format, and placement of labels for refrigerators, refrigerator-freezers, freezers, dishwashers, clothes washers, water heaters, room air conditioners, and pool heaters.",The top of the label should not exceed 74 inches from the base of taller products.,prohibitions,label should not exceed
§ 305.14   ,"Label content for refrigerators, refrigerator-freezers, and freezers.",Labels for dual-mode refrigerator-freezers that can operate as either a refrigerator or a freezer must reflect the estimated energy cost of the model's most energy intensive configuration.,obligations,freezer must reflect
§ 305.14   ,"Label content for refrigerators, refrigerator-freezers, and freezers.","(8) Labels must contain the model's estimated annual energy consumption as determined in accordance with this part and as indicated on the sample labels in appendix L. (9) Labels must contain statements as illustrated in the prototype labels in appendix L and specified as follows by product type: (i) Labels for refrigerators, refrigerator-freezers, and freezers shall contain the text and graphics illustrated in sample labels of appendix L, including the statement: Compare ONLY to other labels with yellow numbers.",obligations,freezers shall contain
§ 305.14   ,"Label content for refrigerators, refrigerator-freezers, and freezers.",(ii) Labels for refrigerators and refrigerator-freezers must contain a statement as illustrated in the prototype labels in appendix L and specified as follows (fill in the blanks with the appropriate energy cost figure):,obligations,freezers must contain
§ 305.14   ,"Label content for refrigerators, refrigerator-freezers, and freezers.","(iii) Labels for refrigerators and refrigerator-freezers shall include the following as part of the statement required by paragraph (a)(9)(ii) of this section: (A) For models covered under appendix A1 to this part, the sentence shall read: Models with similar features have automatic defrost and no freezer.",obligations,sentence shall read
§ 305.14   ,"Label content for refrigerators, refrigerator-freezers, and freezers.","(B) For models covered under appendix A2 to this part, the sentence shall read: Models with similar features have manual defrost.",obligations,sentence shall read
§ 305.14   ,"Label content for refrigerators, refrigerator-freezers, and freezers.","(C) For models covered under appendix A3 to this part, the sentence shall read: Models with similar features have partial automatic defrost.",obligations,sentence shall read
§ 305.14   ,"Label content for refrigerators, refrigerator-freezers, and freezers.","(D) For models covered under appendix A4 to this part, the sentence shall read: Models with similar features have automatic defrost, top-mounted freezer, and no through-the-door ice.",obligations,sentence shall read
§ 305.14   ,"Label content for refrigerators, refrigerator-freezers, and freezers.","(E) For models covered under appendix A5 to this part, the sentence shall read: Models with similar features have automatic defrost, side-mounted freezer, and no through-the-door ice.",obligations,sentence shall read
§ 305.14   ,"Label content for refrigerators, refrigerator-freezers, and freezers.","(F) For models covered under appendix A6 to this part, the sentence shall read: Models with similar features have automatic defrost, bottom-mounted freezer, and no through-the-door ice.",obligations,sentence shall read
§ 305.14   ,"Label content for refrigerators, refrigerator-freezers, and freezers.","(G) For models covered under appendix A7 to this part, the sentence shall read: Models with similar features have automatic defrost, bottom-mounted freezer and through-the-door ice.",obligations,sentence shall read
§ 305.14   ,"Label content for refrigerators, refrigerator-freezers, and freezers.","(H) For models covered under appendix A8 to this part, the sentence shall read: Models with similar features have automatic defrost, side-mounted freezer, and through-the-door ice.",obligations,sentence shall read
§ 305.14   ,"Label content for refrigerators, refrigerator-freezers, and freezers.",(iv) Labels for freezers must contain a statement as illustrated in the prototype labels in appendix L and specified as follows (fill in the blanks with the appropriate energy cost figure):,obligations,freezers must contain
§ 305.14   ,"Label content for refrigerators, refrigerator-freezers, and freezers.","(v) For freezers, the following sentence shall be included as part of the statement required by paragraph (a)(9)(iv) of this section: (A) For models covered under appendix B1 to this part, the sentence shall read: Cost range based only on upright freezer models of similar capacity with manual defrost.",obligations,sentence shall read
§ 305.14   ,"Label content for refrigerators, refrigerator-freezers, and freezers.","(B) For models covered under appendix B2 to this part, the sentence shall read: Cost range based only on upright freezer models of similar capacity with automatic defrost.",obligations,sentence shall read
§ 305.14   ,"Label content for refrigerators, refrigerator-freezers, and freezers.","(C) For models covered under appendix B3 to this part, the sentence shall read: Cost range based only on chest and other freezer models of similar capacity.",obligations,sentence shall read
§ 305.14   ,"Label content for refrigerators, refrigerator-freezers, and freezers.",(10) The following statement shall appear on each label as illustrated in the prototype and sample labels in appendix L to this part: Federal law prohibits removal of this label before consumer purchase.,obligations,statement shall appear
§ 305.14   ,"Label content for refrigerators, refrigerator-freezers, and freezers.","No marks or information other than that specified in this part shall appear on or directly adjoining this label except that: (1) A part or publication number identification may be included on this label, as desired by the manufacturer.",obligations,part shall appear
§ 305.14   ,"Label content for refrigerators, refrigerator-freezers, and freezers.","If a manufacturer elects to use a part or publication number, it must appear in the lower right-hand corner of the label and be set in 12-point type or smaller.",obligations,it must appear
§ 305.14   ,"Label content for refrigerators, refrigerator-freezers, and freezers.",(3) The manufacturer or private labeler may include the ENERGY STAR logo on the bottom right corner of the label for certified products.,permissions,labeler may include
§ 305.14   ,"Label content for refrigerators, refrigerator-freezers, and freezers.",Only manufacturers that have signed a Memorandum of Understanding with the Department of Energy or the Environmental Protection Agency may add the ENERGY STAR logo to labels on certified covered products; such manufacturers may add the ENERGY STAR logo to labels only on those covered products that are contemplated by the Memorandum of Understanding.,permissions,manufacturers may add
§ 305.15   ,Label content for clothes washers.,Labels must disclose estimated annual operating cost for both electricity and natural gas as illustrated in the sample labels in appendix L to this part.,obligations,Labels must disclose
§ 305.15   ,Label content for clothes washers.,(8) Labels must contain the model's estimated annual energy consumption as determined in accordance with this part and as indicated on the sample labels in appendix L. (9),obligations,Labels must contain
§ 305.15   ,Label content for clothes washers.,"The label shall contain the text and graphics illustrated in the sample labels in appendix L, including the statement: Compare ONLY to other labels with yellow numbers.",obligations,label shall contain
§ 305.15   ,Label content for clothes washers.,(10) Labels must contain a statement as illustrated in the prototype labels in appendix L and specified as follows (fill in the blanks with the appropriate capacity and energy cost figures): Your costs will depend on your utility rates and use.,obligations,Labels must contain
§ 305.15   ,Label content for clothes washers.,(11) The following statement shall appear on each label as illustrated in the prototype and sample labels in appendix L: Federal law prohibits removal of this label before consumer purchase.,obligations,statement shall appear
§ 305.15   ,Label content for clothes washers.,"No marks or information other than that specified in this part shall appear on or directly adjoining this label except that: (1) A part or publication number identification may be included on this label, as desired by the manufacturer.",obligations,part shall appear
§ 305.15   ,Label content for clothes washers.,"If a manufacturer elects to use a part or publication number, it must appear in the lower right-hand corner of the label and be set in 12-point type or smaller.",obligations,it must appear
§ 305.15   ,Label content for clothes washers.,(3) The manufacturer or private labeler may include the ENERGY STAR logo on the bottom right corner of the label for certified products.,permissions,labeler may include
§ 305.15   ,Label content for clothes washers.,Only manufacturers that have signed a Memorandum of Understanding with the Department of Energy or the Environmental Protection Agency may add the ENERGY STAR logo to labels on certified covered products; such manufacturers may add the ENERGY STAR logo to labels only on those covered products that are contemplated by the Memorandum of Understanding.,permissions,manufacturers may add
§ 305.16   ,Label content for dishwashers.,Labels must disclose estimated annual operating cost for both electricity and natural gas as illustrated in the sample labels in appendix L to this part.,obligations,Labels must disclose
§ 305.16   ,Label content for dishwashers.,(8) Labels must contain the model's estimated annual energy consumption as determined in accordance with this part and as indicated on the sample labels in appendix L. (9) Labels must contain a statement as illustrated in the prototype labels in appendix L and specified as follows (fill in the brackets with the appropriate capacity and the energy cost figures): Your costs will depend on your utility rates and use.,obligations,Labels must contain
§ 305.16   ,Label content for dishwashers.,(10) The following statement shall appear on each label as illustrated in the prototype and sample labels in appendix L to this part: Federal law prohibits removal of this label before consumer purchase.,obligations,statement shall appear
§ 305.16   ,Label content for dishwashers.,"No marks or information other than that specified in this part shall appear on or directly adjoining this label except that: (1) A part or publication number identification may be included on this label, as desired by the manufacturer.",obligations,part shall appear
§ 305.16   ,Label content for dishwashers.,"If a manufacturer elects to use a part or publication number, it must appear in the lower right-hand corner of the label and be set in 12-point type or smaller.",obligations,it must appear
§ 305.16   ,Label content for dishwashers.,(3) The manufacturer or private labeler may include the ENERGY STAR logo on the bottom right corner of the label for certified products.,permissions,labeler may include
§ 305.16   ,Label content for dishwashers.,Only manufacturers that have signed a Memorandum of Understanding with the Department of Energy or the Environmental Protection Agency may add the ENERGY STAR logo to labels on certified covered products; such manufacturers may add the ENERGY STAR logo to labels only on those covered products that are contemplated by the Memorandum of Understanding.,permissions,manufacturers may add
§ 305.17   ,Label content for water heaters.,(8) Labels must contain the model's estimated annual energy consumption as determined in accordance with this part and as indicated on the sample labels in appendix L to this part.,obligations,Labels must contain
§ 305.17   ,Label content for water heaters.,"(9) Labels must contain a statement as illustrated in the prototype labels in appendix L to this part and specified as follows by product type: (i) For water heaters covered by appendices D1, D2, and D3 to this part, the statement will read as follows (fill in the blanks with the appropriate fuel type, and energy cost figures): Your costs will depend on your utility rates and use.",obligations,Labels must contain
§ 305.17   ,Label content for water heaters.,(10) The following statement shall appear on each label as illustrated in the prototype and sample labels in appendix L: Federal law prohibits removal of this label before consumer purchase.,obligations,statement shall appear
§ 305.17   ,Label content for water heaters.,"No marks or information other than that specified in this part shall appear on or directly adjoining this label except that: (1) A part or publication number identification may be included on this label, as desired by the manufacturer.",obligations,part shall appear
§ 305.17   ,Label content for water heaters.,"If a manufacturer elects to use a part or publication number, it must appear in the lower right-hand corner of the label and be set in 12-point type or smaller.",obligations,it must appear
§ 305.17   ,Label content for water heaters.,(3) The manufacturer or private labeler may include the ENERGY STAR logo on the bottom right corner of the label for certified products.,permissions,labeler may include
§ 305.17   ,Label content for water heaters.,Only manufacturers that have signed a Memorandum of Understanding with the Department of Energy or the Environmental Protection Agency may add the ENERGY STAR logo to labels on certified covered products; such manufacturers may add the ENERGY STAR logo to labels only on those covered products that are contemplated by the Memorandum of Understanding.,permissions,manufacturers may add
§ 305.18   ,Label content for room air conditioners.,"(8) Labels must contain the model's estimated annual energy consumption as determined in accordance with this part and as indicated on the sample labels in appendix L. Labels must contain the model's energy efficiency rating, as applicable, as determined in accordance with this part and as indicated on the sample labels in appendix L to this part.",obligations,Labels must contain
§ 305.18   ,Label content for room air conditioners.,"(9) Labels must contain a statement as illustrated in the prototype labels in appendix L and specified as follows (fill in the blanks with the appropriate model type, year, energy type, and energy cost figure): Your costs will depend on your utility rates and use.",obligations,Labels must contain
§ 305.18   ,Label content for room air conditioners.,(10) The following statement shall appear on each label as illustrated in the prototype and sample labels in appendix L: Federal law prohibits removal of this label before consumer purchase.,obligations,statement shall appear
§ 305.18   ,Label content for room air conditioners.,"No marks or information other than that specified in this part shall appear on or directly adjoining this label except that: (1) A part or publication number identification may be included on this label, as desired by the manufacturer.",obligations,part shall appear
§ 305.18   ,Label content for room air conditioners.,"If a manufacturer elects to use a part or publication number, it must appear in the lower right-hand corner of the label and be set in 12-point type or smaller.",obligations,it must appear
§ 305.18   ,Label content for room air conditioners.,(3) The manufacturer or private labeler may include the ENERGY STAR logo on the bottom right corner of the label for certified products.,permissions,labeler may include
§ 305.18   ,Label content for room air conditioners.,Only manufacturers that have signed a Memorandum of Understanding with the Department of Energy or the Environmental Protection Agency may add the ENERGY STAR logo to labels on certified covered products; such manufacturers may add the ENERGY STAR logo to labels only on those covered products that are contemplated by the Memorandum of Understanding.,permissions,manufacturers may add
§ 305.19   ,Label content for pool heaters.,"(8) Labels must contain the model's energy efficiency rating or thermal efficiency, as applicable, as determined in accordance with this part and as indicated on the sample labels in appendix L to this part.",obligations,Labels must contain
§ 305.19   ,Label content for pool heaters.,(9) Labels must contain a statement as illustrated in the prototype labels in appendix L and specified as follows: Efficiency range based only on models fueled by [natural gas or oil].,obligations,Labels must contain
§ 305.19   ,Label content for pool heaters.,(10) The following statement shall appear on each label as illustrated in the prototype and sample labels in appendix L to this part: Federal law prohibits removal of this label before consumer purchase.,obligations,statement shall appear
§ 305.19   ,Label content for pool heaters.,"No marks or information other than that specified in this part shall appear on or directly adjoining this label except that: (1) A part or publication number identification may be included on this label, as desired by the manufacturer.",obligations,part shall appear
§ 305.19   ,Label content for pool heaters.,"If a manufacturer elects to use a part or publication number, it must appear in the lower right-hand corner of the label and be set in 12-point type or smaller.",obligations,it must appear
§ 305.19   ,Label content for pool heaters.,(3) The manufacturer or private labeler may include the ENERGY STAR logo on the bottom right corner of the label for certified products.,permissions,labeler may include
§ 305.19   ,Label content for pool heaters.,Only manufacturers that have signed a Memorandum of Understanding with the Department of Energy or the Environmental Protection Agency may add the ENERGY STAR logo to labels on certified covered products; such manufacturers may add the ENERGY STAR logo to labels only on those covered products that are contemplated by the Memorandum of Understanding.,permissions,manufacturers may add
§ 305.20   ,"Labeling for central air conditioners, heat pumps, and furnaces.",Positioning and spacing should follow the prototypes closely.,obligations,spacing should follow
§ 305.20   ,"Labeling for central air conditioners, heat pumps, and furnaces.","The paper stock for pressure-sensitive or other adhesive labels shall have a basic weight of not less than 58 pounds per 500 sheets (25”x38”) or equivalent, exclusive of the release liner and adhesive.",obligations,labels shall have
§ 305.20   ,"Labeling for central air conditioners, heat pumps, and furnaces.",(1) Manufacturers shall affix adhesive labels to the covered products in such a position that they are easily read by persons examining the products.,obligations,Manufacturers shall affix
§ 305.20   ,"Labeling for central air conditioners, heat pumps, and furnaces.",Tops of the labels should not exceed 74 inches from the base of taller products.,prohibitions,labels should not exceed
§ 305.20   ,"Labeling for central air conditioners, heat pumps, and furnaces.","In addition to the requirements of paragraph (e)(1), for split-system and single-package central air conditioners, and all non-weatherized and mobile home furnaces manufactured on or after the compliance date of regional efficiency standards issued by the Department of Energy for those products in 10 CFR part 430, manufacturers shall affix labels to covered product packages or the products themselves in positions that allow persons examining the packaged products to read the labels easily.",obligations,manufacturers shall affix
§ 305.20   ,"Labeling for central air conditioners, heat pumps, and furnaces.",The label may include multiple model numbers on a single label for models as long as the models share the same efficiency ratings and capacities and the presentation of such information is clear and prominent.,permissions,label may include
§ 305.20   ,"Labeling for central air conditioners, heat pumps, and furnaces.","(8) The following statement shall appear in bold print on furnace labels adjacent to the range(s) as illustrated in the sample labels in appendix L: (9) The following statement shall appear at the top of the label as illustrated in the sample labels in appendix L to this part: (10) No marks or information other than that specified in this part shall appear on or directly adjoining this label except that: (i) A part or publication number identification may be included on this label, as desired by the manufacturer.",obligations,part shall appear
§ 305.20   ,"Labeling for central air conditioners, heat pumps, and furnaces.","If a manufacturer elects to use a part or publication number, it must appear in the lower right-hand corner of the label and be set in 12-point type or smaller.",obligations,it must appear
§ 305.20   ,"Labeling for central air conditioners, heat pumps, and furnaces.",(iii) The manufacturer may include the ENERGY STAR logo on the label for certified products in a location consistent with the sample labels in appendix L to this part.,permissions,manufacturer may include
§ 305.20   ,"Labeling for central air conditioners, heat pumps, and furnaces.",Only manufacturers that have signed a Memorandum of Understanding with the Department of Energy or the Environmental Protection Agency may add the ENERGY STAR logo to labels on qualifying covered products; such manufacturers may add the ENERGY STAR logo to labels only on those covered products that are contemplated by the Memorandum of Understanding.,permissions,manufacturers may add
§ 305.20   ,"Labeling for central air conditioners, heat pumps, and furnaces.",(11) Manufacturers of boilers shipped with more than one input nozzle to be installed in the field must label such boilers with the AFUE of the system when it is set up with the nozzle that results in the lowest AFUE rating.,obligations,field must label
§ 305.20   ,"Labeling for central air conditioners, heat pumps, and furnaces.",(12) Manufacturers that ship out boilers that may be set up as either steam or hot water units must label the boilers with the AFUE rating derived by conducting the required test on the boiler as a hot water unit.,obligations,units must label
§ 305.20   ,"Labeling for central air conditioners, heat pumps, and furnaces.",(13) Manufacturers of oil furnaces must label their products with the AFUE rating associated with the furnace's input capacity set by the manufacturer at shipment.,obligations,furnaces must label
§ 305.20   ,"Labeling for central air conditioners, heat pumps, and furnaces.","Consistent with paragraph (f)(10)(iii) of this section, labels for oil furnaces may include the ENERGY STAR logo only if the model qualifies for that program on all input capacities displayed on the label.",permissions,furnaces may include
§ 305.20   ,"Labeling for central air conditioners, heat pumps, and furnaces.",(14) Manufacturers of models that qualify as both furnaces and central air conditioners or heat pumps under DOE requirements may combine the disclosures required by this section on one label for models that meet all applicable DOE regional efficiency standards.,permissions,requirements may combine
§ 305.20   ,"Labeling for central air conditioners, heat pumps, and furnaces.",The label may include multiple model numbers on a single label for models as long as the models share the same efficiency ratings and capacities and the presentation of such information is clear and prominent.,permissions,label may include
§ 305.20   ,"Labeling for central air conditioners, heat pumps, and furnaces.","Inclusion of capacity is optional at the discretion of the manufacturer or private labeler for all models except split-system labels, which may not disclose capacity.",dispensations,which may not disclose
§ 305.20   ,"Labeling for central air conditioners, heat pumps, and furnaces.",The ratings for any split-system heat pump condenser-evaporator coil combinations shall include the low and high ratings of all condenser-evaporator coil combinations certified to the Department of Energy pursuant to 10 CFR part 430.,obligations,combinations shall include
